Complexity,Loss,Equation
1,0.005033683,"0.7374918"
3,0.0009581788,"n ^ -0.3459708"
4,0.0008432665,"1.1469098 / sqrt(n)"
5,0.0007606867,"(0.784414 / n) + 0.41065246"
6,0.00025601545,"(n ^ sqrt(g)) ^ -0.24115482"
7,0.00025601537,"0.7857182 ^ (sqrt(g) * log(n))"
8,2.6650754e-5,"(0.19138733 / g) + (0.99629384 / sqrt(n))"
9,7.0574115e-6,"((0.12828022 / g) + 0.771403) ^ (n + -0.7653294)"
11,5.456074e-6,"(((0.11635787 / g) - -0.7611416) ^ (n - 0.40444115)) + 0.07303159"
12,1.7811788e-6,"((0.14020962 / (log(g) + g)) - -0.78213614) ^ (n - 0.7647918)"
13,1.3966461e-6,"(((0.056085672 / (g + -0.40276495)) + (0.122039035 / n)) - -0.7980161) ^ n"
14,5.695412e-7,"(((0.05988604 / log(g + 0.5451404)) - -0.75324476) ^ (n - 0.40607843)) + 0.07459436"
15,4.301427e-7,"(((0.05985413 / (g + -0.43193868)) + (0.09504266 / n)) - -0.7908333) ^ (n - 0.30098718)"
16,3.4567162e-7,"(((0.08860863 / (log(g) + 0.65799224)) + (0.093967505 / n)) - -0.7636691) ^ (n - 0.3061175)"
19,3.3629823e-7,"(((0.060038336 / ((g + (0.10491932 / n)) - 0.47308183)) + (0.09737732 / n)) - -0.7893198) ^ (n - 0.30980217)"
