Complexity,Loss,Equation
1,0.00051861,"0.80286145"
4,2.7215436e-5,"0.8581208 ^ sqrt(g)"
5,2.2436516e-6,"(0.16206412 / g) + 0.7201136"
6,1.2037085e-6,"log((0.25859278 ^ g) + 2.1578898)"
7,1.4918466e-7,"(0.10066152 / (g - 0.37392133)) + 0.7378651"
8,8.040418e-8,"(0.15453169 / (log(g) + 0.736418)) - -0.6917767"
9,4.745836e-9,"(0.23194152 / (g + sqrt(log(g)))) - -0.7182574"
10,3.6104482e-9,"(0.2882256 / (sqrt(g) + sqrt(log(g)))) - -0.67185086"
11,1.0996251e-9,"(0.22980808 / (g + sqrt(log(g * 0.99008775)))) - -0.71879315"
12,1.9145852e-10,"(0.2010282 / (g + sqrt(log(sqrt(g * 0.93518096))))) - -0.72156835"
