Complexity,Loss,Equation
1,0.0010027632,"0.67211956"
4,8.44217e-5,"0.7580062 ^ sqrt(g)"
5,3.7723398e-6,"(0.17042707 ^ g) + 0.6355801"
6,8.934556e-7,"0.6429313 / (log(g) ^ 0.09913789)"
7,4.9405537e-7,"sqrt(log(g) ^ -0.13056752) + -0.35730088"
8,5.0791094e-8,"0.64644724 / ((log(g) + 0.059920117) ^ 0.11180213)"
10,4.587628e-8,"0.5084448 / ((log(g + 0.06585371) ^ 0.08716126) + -0.21042113)"
11,4.3026272e-8,"0.6065615 / sqrt(((log(g) + 0.07828894) ^ 0.19954894) + -0.12319595)"
12,1.2472499e-8,"(((1.5813956 / log(g + 0.18124717)) ^ 0.42274666) / 6.764749) + 0.46767807"
13,1.133472e-8,"(sqrt(1.1051898 / log((g + g) - 0.57216585)) / 4.524578) + 0.45766822"
