Complexity,Loss,Equation
1,0.0010027632,"0.6721241"
4,8.442171e-5,"0.75800127 ^ sqrt(g)"
5,3.7717482e-6,"(0.17052534 ^ g) + 0.63554376"
6,4.9403957e-7,"(log(g) ^ -0.065267704) + -0.35729477"
7,1.1552529e-7,"1.7458135 / exp(log(g) ^ 0.1066211)"
8,5.078039e-8,"((log(g) + 0.059347544) ^ -0.11169039) / 1.5470171"
9,1.2662598e-8,"(0.15670449 / sqrt(log(g + 0.21758673))) + 0.4913915"
10,1.0968444e-8,"(0.22972392 / (log(g + 0.14652404) ^ 0.3247544)) + 0.41638508"
11,6.754177e-9,"0.63451564 / ((log(g) ^ 0.06641874) - (0.18364844 / exp(g)))"
14,6.4376877e-9,"(0.2723616 / (((0.08855646 ^ (g ^ 1.1335477)) + log(g)) ^ 0.24127029)) + 0.37000018"
15,1.643976e-9,"(0.269865 / ((log(g) + (0.07972278 ^ (g ^ sqrt(g)))) ^ 0.23934852)) + 0.3725177"
